Date,Open,Day Low,Day High,Close,Volume
4/1/2014,13.22,13.22,13.22,13.22,0
3/31/2014,13,13,13,13,0
3/28/2014,12.73,12.73,12.73,12.73,0
3/27/2014,12.72,12.72,12.72,12.72,0
3/26/2014,12.79,12.79,12.79,12.79,0
3/25/2014,13.03,13.03,13.03,13.03,0
3/24/2014,13.02,13.02,13.02,13.02,0
3/21/2014,13.22,13.22,13.22,13.22,0
3/20/2014,13.3,13.3,13.3,13.3,0
3/19/2014,13.25,13.25,13.25,13.25,0
3/18/2014,13.31,13.31,13.31,13.31,0
3/17/2014,13.12,13.12,13.12,13.12,0
3/14/2014,13.03,13.03,13.03,13.03,0
3/13/2014,13,13,13,13,0
3/12/2014,13.15,13.15,13.15,13.15,0
3/11/2014,13.12,13.12,13.12,13.12,0
3/10/2014,13.27,13.27,13.27,13.27,0
3/7/2014,13.28,13.28,13.28,13.28,0
3/6/2014,13.27,13.27,13.27,13.27,0
3/5/2014,13.25,13.25,13.25,13.25,0
3/4/2014,13.24,13.24,13.24,13.24,0
3/3/2014,12.87,12.87,12.87,12.87,0
2/28/2014,12.96,12.96,12.96,12.96,0
2/27/2014,13,13,13,13,0
2/26/2014,12.94,12.94,12.94,12.94,0
2/25/2014,12.86,12.86,12.86,12.86,0
2/24/2014,12.89,12.89,12.89,12.89,0
2/21/2014,12.77,12.77,12.77,12.77,0
2/20/2014,12.74,12.74,12.74,12.74,0
2/19/2014,12.59,12.59,12.59,12.59,0
2/18/2014,12.74,12.74,12.74,12.74,0
2/14/2014,12.62,12.62,12.62,12.62,0
2/13/2014,12.6,12.6,12.6,12.6,0
2/12/2014,12.43,12.43,12.43,12.43,0
2/11/2014,12.38,12.38,12.38,12.38,0
2/10/2014,12.3,12.3,12.3,12.3,0
2/7/2014,12.29,12.29,12.29,12.29,0
2/6/2014,12.14,12.14,12.14,12.14,0
2/5/2014,12.03,12.03,12.03,12.03,0
2/4/2014,12.13,12.13,12.13,12.13,0
2/3/2014,12.06,12.06,12.06,12.06,0
1/31/2014,12.48,12.48,12.48,12.48,0
1/30/2014,12.58,12.58,12.58,12.58,0
